location,total_sqft,bath,price,BHK,price_per_sqft
7th phase jp nagar,1175.0,2,82.0,2,6978.723404255319
7th phase jp nagar,1400.0,2,95.0,3,6785.714285714285
7th phase jp nagar,2225.0,3,160.0,3,7191.011235955056
7th phase jp nagar,1050.0,2,71.0,2,6761.9047619047615
7th phase jp nagar,918.0,2,50.49,2,5500.0
7th phase jp nagar,1450.0,2,100.0,3,6896.551724137931
7th phase jp nagar,1420.0,2,96.0,3,6760.56338028169
7th phase jp nagar,1680.0,3,120.0,3,7142.857142857143
7th phase jp nagar,980.0,2,69.0,2,7040.816326530612
7th phase jp nagar,1180.0,2,72.0,2,6101.6949152542375
7th phase jp nagar,5080.0,7,450.0,6,8858.267716535433
7th phase jp nagar,1400.0,3,115.0,3,8214.285714285714
7th phase jp nagar,1270.0,2,83.0,2,6535.433070866142
7th phase jp nagar,2503.0,4,188.0,4,7510.986815821015
7th phase jp nagar,2200.0,3,190.0,3,8636.363636363636
7th phase jp nagar,1575.0,2,110.0,3,6984.126984126984
7th phase jp nagar,1850.0,3,140.0,3,7567.5675675675675
7th phase jp nagar,1575.0,2,120.0,3,7619.047619047619
7th phase jp nagar,1175.0,2,82.5,2,7021.276595744681
7th phase jp nagar,1215.0,2,90.0,2,7407.407407407408
7th phase jp nagar,1050.0,2,75.0,2,7142.857142857143
7th phase jp nagar,1300.0,3,89.13,3,6856.153846153846
7th phase jp nagar,1130.0,2,73.0,2,6460.1769911504425
7th phase jp nagar,1450.0,3,100.0,3,6896.551724137931
7th phase jp nagar,1050.0,2,50.0,2,4761.9047619047615
7th phase jp nagar,1275.0,2,87.0,2,6823.529411764706
7th phase jp nagar,1650.0,3,110.0,3,6666.666666666667
7th phase jp nagar,850.0,2,42.0,2,4941.176470588235
7th phase jp nagar,1680.0,3,117.0,3,6964.285714285715
7th phase jp nagar,1236.0,2,61.33,2,4961.974110032363
7th phase jp nagar,1000.0,2,53.0,2,5300.0
7th phase jp nagar,1680.0,3,125.0,3,7440.476190476191
7th phase jp nagar,1675.0,2,135.0,3,8059.701492537313
7th phase jp nagar,1187.0,2,59.0,2,4970.513900589722
7th phase jp nagar,1850.0,3,155.0,3,8378.378378378378
7th phase jp nagar,1000.0,2,61.0,2,6100.0
7th phase jp nagar,1460.0,2,100.0,3,6849.315068493151
7th phase jp nagar,1200.0,2,62.5,2,5208.333333333333
7th phase jp nagar,1000.0,2,70.65,2,7065.000000000001
7th phase jp nagar,1080.0,2,75.0,2,6944.444444444444
7th phase jp nagar,1460.0,2,97.0,3,6643.835616438356
7th phase jp nagar,1120.0,2,65.0,2,5803.571428571428
7th phase jp nagar,1100.0,3,60.0,2,5454.545454545455
7th phase jp nagar,1790.0,3,120.0,3,6703.91061452514
7th phase jp nagar,1050.0,2,77.0,2,7333.333333333333
7th phase jp nagar,1040.0,2,75.0,2,7211.538461538462
7th phase jp nagar,1800.0,3,130.0,3,7222.222222222223
7th phase jp nagar,1050.0,2,68.0,2,6476.190476190476
7th phase jp nagar,1000.0,2,60.0,2,6000.0
7th phase jp nagar,980.0,2,86.0,2,8775.510204081633
7th phase jp nagar,1050.0,2,77.47,2,7378.0952380952385
7th phase jp nagar,1270.0,2,80.0,2,6299.212598425197
7th phase jp nagar,1680.0,3,122.0,3,7261.9047619047615
7th phase jp nagar,1130.0,2,85.0,2,7522.123893805309
7th phase jp nagar,1680.0,3,130.0,3,7738.0952380952385
7th phase jp nagar,2980.0,4,260.0,3,8724.832214765102
7th phase jp nagar,980.0,2,77.44,2,7902.040816326531
7th phase jp nagar,1680.0,3,112.0,3,6666.666666666667
7th phase jp nagar,2095.0,3,150.0,3,7159.904534606205
7th phase jp nagar,1976.0,3,145.0,3,7338.056680161943
7th phase jp nagar,1600.0,2,110.0,3,6875.0
7th phase jp nagar,1765.0,3,118.0,3,6685.552407932011
7th phase jp nagar,1275.0,2,88.0,3,6901.9607843137255
7th phase jp nagar,1450.0,2,102.0,3,7034.482758620689
7th phase jp nagar,750.0,1,47.0,1,6266.666666666667
7th phase jp nagar,990.0,2,50.0,2,5050.50505050505
7th phase jp nagar,1000.0,1,60.0,1,6000.0
7th phase jp nagar,1080.0,2,51.0,2,4722.222222222223
7th phase jp nagar,1430.0,2,102.0,3,7132.867132867133
7th phase jp nagar,1128.0,2,60.0,2,5319.148936170212
7th phase jp nagar,1140.0,2,57.0,2,5000.0
7th phase jp nagar,1530.0,2,108.0,2,7058.823529411765
8th phase jp nagar,1073.5,2,54.005,2,5030.740568234746
8th phase jp nagar,451.0,1,29.9,1,6629.711751662971
8th phase jp nagar,1062.0,2,42.47,2,3999.0583804143125
8th phase jp nagar,1455.0,3,73.31,3,5038.487972508591
8th phase jp nagar,871.0,2,55.0,2,6314.580941446613
8th phase jp nagar,1098.0,2,43.91,2,3999.089253187614
8th phase jp nagar,1800.0,3,80.0,3,4444.444444444444
8th phase jp nagar,2700.0,4,130.0,4,4814.814814814815
8th phase jp nagar,1080.0,2,38.0,2,3518.5185185185187
8th phase jp nagar,1059.0,2,34.5,2,3257.790368271955
8th phase jp nagar,1080.0,2,35.0,2,3240.740740740741
8th phase jp nagar,500.0,1,31.0,1,6200.0
8th phase jp nagar,1100.0,2,35.0,2,3181.818181818182
8th phase jp nagar,2100.0,4,92.0,4,4380.952380952381
8th phase jp nagar,1035.0,2,39.33,2,3800.0
8th phase jp nagar,909.0,2,40.9,2,4499.4499449945
8th phase jp nagar,1431.5,3,72.02,3,5031.086273140063
8th phase jp nagar,1900.0,4,90.0,3,4736.8421052631575
8th phase jp nagar,500.0,1,30.0,1,6000.0
8th phase jp nagar,1125.0,2,36.94,2,3283.5555555555557
8th phase jp nagar,1089.0,2,43.55,2,3999.0817263544536
8th phase jp nagar,1504.0,2,83.0,3,5518.617021276596
8th phase jp nagar,2600.0,4,115.0,4,4423.076923076923
8th phase jp nagar,1513.0,2,62.0,2,4097.818902842036
8th phase jp nagar,1298.0,2,59.0,2,4545.454545454545
8th phase jp nagar,1006.0,2,44.0,2,4373.75745526839
8th phase jp nagar,500.0,1,33.0,1,6600.0
8th phase jp nagar,1160.0,2,95.0,2,8189.6551724137935
8th phase jp nagar,1245.0,2,59.0,2,4738.955823293173
8th phase jp nagar,1510.0,2,80.0,2,5298.013245033113
8th phase jp nagar,3300.0,3,165.0,3,5000.0
8th phase jp nagar,1730.0,5,75.0,5,4335.260115606937
8th phase jp nagar,1046.0,2,48.0,2,4588.910133843212
8th phase jp nagar,1408.0,3,80.0,3,5681.818181818182
9th phase jp nagar,1005.0,2,50.0,2,4975.124378109453
9th phase jp nagar,1100.0,2,65.0,2,5909.090909090909
9th phase jp nagar,1080.0,2,37.0,2,3425.925925925926
9th phase jp nagar,1035.0,2,45.0,2,4347.826086956522
9th phase jp nagar,5000.0,4,290.0,4,5800.0
9th phase jp nagar,1164.0,2,56.0,2,4810.996563573884
9th phase jp nagar,1005.0,2,42.0,2,4179.104477611941
9th phase jp nagar,1127.0,2,50.0,2,4436.557231588287
9th phase jp nagar,1005.0,2,43.0,2,4278.606965174129
9th phase jp nagar,835.0,2,37.0,2,4431.137724550898
9th phase jp nagar,1050.0,2,39.0,2,3714.285714285714
9th phase jp nagar,660.0,2,27.0,2,4090.909090909091
9th phase jp nagar,600.0,1,20.0,1,3333.3333333333335
9th phase jp nagar,1466.0,2,71.0,2,4843.110504774898
9th phase jp nagar,1890.0,2,93.0,3,4920.6349206349205
9th phase jp nagar,1079.0,2,60.0,2,5560.704355885079
9th phase jp nagar,1480.0,2,80.0,2,5405.405405405405
9th phase jp nagar,1200.0,2,80.0,2,6666.666666666667
9th phase jp nagar,905.0,2,32.0,2,3535.9116022099447
9th phase jp nagar,1073.0,2,52.36,2,4879.77632805219
9th phase jp nagar,1719.3,2,88.0,3,5118.362124120282
9th phase jp nagar,1780.0,3,88.0,3,4943.820224719101
9th phase jp nagar,1522.0,3,90.0,3,5913.272010512484
9th phase jp nagar,890.0,2,45.0,2,5056.179775280899
9th phase jp nagar,5000.0,4,300.0,4,6000.0
9th phase jp nagar,1050.0,2,35.0,2,3333.3333333333335
9th phase jp nagar,1331.95,2,69.0,2,5180.374638687638
abbigere,985.0,2,40.39,2,4100.507614213198
abbigere,2200.0,6,68.0,6,3090.909090909091
abbigere,765.0,2,30.0,1,3921.5686274509803
abbigere,880.0,2,35.0,2,3977.2727272727275
abbigere,795.0,2,32.54,2,4093.0817610062895
abbigere,1005.0,2,39.59,2,3939.303482587065
abbigere,734.0,1,19.82,1,2700.272479564033
abbigere,1020.0,2,41.82,2,4100.0
abbigere,2500.0,6,81.0,6,3240.0
abbigere,1130.0,2,46.33,2,4100.0
abbigere,795.0,1,32.6,2,4100.62893081761
abbigere,3000.0,8,150.0,8,5000.0
abbigere,985.0,2,38.92,2,3951.269035532995
abbigere,1000.0,2,41.0,2,4100.0
abbigere,995.0,2,40.8,2,4100.5025125628135
abbigere,1020.0,2,40.8,2,3999.9999999999995
aecs layout,1100.0,2,45.0,2,4090.909090909091
aecs layout,1028.0,2,42.0,2,4085.603112840467
aecs layout,1199.0,2,65.0,2,5421.184320266889
aecs layout,1080.0,2,55.0,2,5092.592592592592
aecs layout,1123.0,2,64.0,2,5699.020480854853
aecs layout,1308.0,2,60.0,2,4587.155963302752
aecs layout,1005.0,2,55.0,2,5472.636815920398
akshaya nagar,1388.0,2,57.0,2,4106.628242074928
akshaya nagar,1070.0,2,54.0,2,5046.728971962617
akshaya nagar,1280.0,2,58.0,2,4531.25
akshaya nagar,1662.0,3,85.1,3,5120.336943441636
akshaya nagar,1897.0,3,120.0,3,6325.77754348972
akshaya nagar,1410.0,2,75.0,3,5319.148936170212
akshaya nagar,1360.0,2,85.0,3,6250.0
akshaya nagar,1410.0,2,80.0,3,5673.758865248227
akshaya nagar,1662.0,3,85.0,3,5114.320096269555
akshaya nagar,1662.0,3,85.5,3,5144.404332129964
akshaya nagar,1280.0,2,60.0,2,4687.5
akshaya nagar,1666.0,3,95.0,3,5702.280912364946
akshaya nagar,1575.0,3,90.0,3,5714.285714285715
akshaya nagar,1430.0,2,75.0,3,5244.755244755244
akshaya nagar,1419.0,2,73.0,3,5144.46793516561
akshaya nagar,1200.0,2,50.0,2,4166.666666666667
akshaya nagar,1092.0,2,60.0,2,5494.505494505494
akshaya nagar,1690.0,3,85.0,3,5029.585798816568
akshaya nagar,1897.0,4,93.0,3,4902.477596204533
akshaya nagar,1884.0,3,98.0,3,5201.698513800425
akshaya nagar,1314.0,2,68.8,2,5235.920852359209
akshaya nagar,1265.0,2,67.0,2,5296.442687747036
akshaya nagar,1126.0,2,55.0,2,4884.547069271758
akshaya nagar,1662.0,3,90.0,3,5415.162454873646
akshaya nagar,1420.0,2,75.0,3,5281.69014084507
akshaya nagar,1412.0,2,88.0,3,6232.294617563739
akshaya nagar,1434.0,3,84.0,3,5857.740585774059
akshaya nagar,1890.0,4,100.0,3,5291.005291005291
akshaya nagar,1419.0,2,87.0,3,6131.0782241014795
akshaya nagar,1300.0,2,54.0,2,4153.846153846154
akshaya nagar,1113.0,2,52.0,2,4672.057502246182
akshaya nagar,1820.0,4,95.0,3,5219.780219780219
akshaya nagar,1100.0,2,48.0,2,4363.636363636364
akshaya nagar,1896.0,3,102.0,3,5379.7468354430375
akshaya nagar,1300.0,2,66.0,2,5076.923076923077
akshaya nagar,1225.0,2,68.0,2,5551.0204081632655
akshaya nagar,1179.0,2,51.0,2,4325.699745547074
akshaya nagar,1421.0,2,73.0,3,5137.227304714989
akshaya nagar,1893.0,4,95.0,3,5018.489170628632
akshaya nagar,900.0,2,45.0,2,5000.0
ambalipura,1105.0,2,75.0,2,6787.330316742082
ambalipura,1800.0,3,110.0,3,6111.111111111111
ambalipura,1150.0,2,80.0,2,6956.521739130435
ambalipura,1250.0,2,66.25,2,5300.0
ambalipura,1332.0,2,79.0,2,5930.930930930931
ambalipura,1730.0,3,120.0,3,6936.416184971098
ambalipura,1230.0,2,66.25,2,5386.178861788618
ambalipura,1351.0,2,77.0,2,5699.481865284974
ambalipura,1303.0,2,80.0,2,6139.677666922486
ambalipura,1607.0,2,112.0,3,6969.508400746733
ambalipura,770.0,1,43.82,1,5690.909090909091
ambalipura,1700.0,2,76.0,2,4470.588235294118
ambalipura,1060.0,2,58.5,2,5518.867924528302
ambalipura,1650.0,3,100.0,3,6060.606060606061
ambalipura,1198.0,2,80.0,2,6677.79632721202
ambedkar nagar,1935.0,4,130.0,3,6718.3462532299745
ambedkar nagar,1424.0,2,90.0,2,6320.224719101124
ambedkar nagar,2225.0,4,169.0,3,7595.505617977528
ambedkar nagar,1862.0,3,120.0,3,6444.68313641246
ambedkar nagar,1850.0,4,139.0,3,7513.513513513513
ambedkar nagar,1936.0,4,126.0,3,6508.264462809917
ambedkar nagar,1862.0,3,119.0,3,6390.977443609023
ambedkar nagar,2150.0,4,125.0,3,5813.953488372093
ambedkar nagar,3530.0,4,290.0,4,8215.297450424929
ambedkar nagar,1856.0,3,120.0,3,6465.517241379311
ambedkar nagar,1852.0,3,130.0,3,7019.438444924406
ambedkar nagar,1850.0,4,120.0,3,6486.486486486487
ambedkar nagar,1367.0,2,86.0,2,6291.148500365764
ambedkar nagar,3565.0,4,255.0,4,7152.875175315568
ambedkar nagar,1409.0,2,95.0,2,6742.370475514549
ambedkar nagar,1950.0,4,120.0,3,6153.846153846154
ambedkar nagar,1921.0,4,129.0,3,6715.252472670484
ambedkar nagar,1920.0,4,121.0,3,6302.083333333333
ambedkar nagar,1935.0,4,125.0,3,6459.948320413437
ambedkar nagar,1852.0,4,122.0,3,6587.473002159827
ambedkar nagar,1852.0,3,125.0,3,6749.460043196545
ambedkar nagar,1850.0,4,121.0,3,6540.540540540541
ambedkar nagar,1425.0,2,94.0,2,6596.491228070176
ambedkar nagar,2395.0,4,150.0,3,6263.048016701461
amruthahalli,900.0,2,40.0,2,4444.444444444444
amruthahalli,1200.0,2,55.0,2,4583.333333333333
amruthahalli,1900.0,3,135.0,3,7105.263157894737
amruthahalli,924.0,2,45.0,2,4870.12987012987
amruthahalli,900.0,2,60.0,2,6666.666666666667
amruthahalli,1100.0,2,45.0,2,4090.909090909091
amruthahalli,1450.0,2,85.0,3,5862.068965517241
amruthahalli,1250.0,2,79.0,2,6320.0
amruthahalli,1190.0,2,50.0,2,4201.680672268908
amruthahalli,1202.0,2,65.0,2,5407.65391014975
amruthahalli,1340.0,2,75.0,2,5597.014925373134
amruthahalli,2650.0,4,175.0,3,6603.773584905661
amruthahalli,1450.0,2,90.0,3,6206.896551724138
amruthahalli,1025.0,2,42.0,2,4097.5609756097565
amruthahalli,485.0,1,19.5,1,4020.618556701031
anandapura,1167.0,2,43.76,2,3749.7857754927163
anandapura,1000.0,2,55.0,2,5500.0
anandapura,1141.0,2,42.79,2,3750.219106047327
anandapura,1200.0,2,67.0,2,5583.333333333333
anandapura,1200.0,2,58.0,2,4833.333333333333
anandapura,1151.0,2,43.1,2,3744.5699391833186
anandapura,1141.0,2,42.75,2,3746.7134092900965
anandapura,900.0,2,48.0,2,5333.333333333333
anandapura,1749.0,4,90.0,4,5145.797598627787
anandapura,1151.0,2,42.9,2,3727.193744569939
anandapura,1250.0,2,45.0,2,3600.0
anandapura,1151.0,2,43.16,2,3749.7827975673326
anandapura,1200.0,2,66.0,3,5500.0
anandapura,1415.0,2,74.0,3,5229.681978798587
anandapura,1200.0,2,50.0,2,4166.666666666667
anandapura,1141.0,2,50.0,2,4382.120946538124
ananth nagar,500.0,1,14.0,1,2800.0
ananth nagar,1100.0,2,31.5,2,2863.6363636363635
ananth nagar,982.0,2,24.55,2,2500.0
ananth nagar,500.0,2,14.0,1,2800.0
ananth nagar,900.0,2,22.5,2,2500.0
ananth nagar,908.0,2,26.0,2,2863.4361233480176
ananth nagar,870.0,2,36.0,2,4137.931034482759
ananth nagar,937.0,2,35.0,2,3735.325506937033
ananth nagar,960.0,2,37.0,2,3854.1666666666665
ananth nagar,1000.0,2,29.7,2,2970.0
ananth nagar,850.0,2,25.99,2,3057.6470588235293
ananth nagar,902.0,2,25.26,2,2800.4434589800444
ananth nagar,1470.0,3,54.0,3,3673.469387755102
ananth nagar,810.0,2,25.5,2,3148.1481481481483
ananth nagar,890.0,2,27.0,2,3033.7078651685392
ananth nagar,1200.0,2,36.0,2,3000.0
ananth nagar,1319.0,3,42.0,3,3184.230477634572
ananth nagar,1000.0,2,25.0,2,2500.0
ananth nagar,902.0,2,25.0,2,2771.6186252771618
ananth nagar,930.0,2,25.99,2,2794.6236559139784
ananth nagar,1074.0,2,26.85,2,2500.0
ananth nagar,1010.0,2,38.0,2,3762.3762376237623
ananth nagar,992.0,2,24.8,2,2500.0
anekal,1200.0,1,36.0,2,3000.0
anekal,656.0,2,22.0,2,3353.6585365853657
anekal,620.0,2,22.0,2,3548.3870967741937
anekal,925.0,2,40.0,2,4324.324324324324
anekal,530.0,1,18.0,1,3396.2264150943397
anekal,1800.0,3,68.0,3,3777.777777777778
anekal,351.0,1,16.0,1,4558.404558404558
anekal,1035.0,2,38.3,2,3700.483091787439
anekal,888.0,2,34.0,2,3828.828828828829
anekal,1200.0,2,36.1,2,3008.3333333333335
anekal,1200.0,2,36.0,4,3000.0
anekal,766.0,2,28.0,2,3655.3524804177546
anekal,967.0,2,45.0,3,4653.567735263702
anekal,620.0,1,23.5,2,3790.3225806451615
anekal,1150.0,3,45.0,3,3913.0434782608695
anekal,400.0,1,11.5,1,2875.0
anekal,456.0,1,15.0,1,3289.4736842105262
anekal,2400.0,4,95.0,3,3958.3333333333335
anekal,680.0,1,21.0,2,3088.235294117647
anekal,420.0,1,12.5,1,2976.190476190476
anekal,614.0,1,28.0,2,4560.260586319218
anekal,1140.0,2,52.0,2,4561.403508771929
anekal,625.0,1,25.0,2,4000.0
anjanapura,1850.0,4,86.0,4,4648.648648648648
anjanapura,1070.0,2,39.0,2,3644.8598130841124
anjanapura,1500.0,3,121.0,3,8066.666666666667
anjanapura,1070.0,2,37.0,2,3457.9439252336447
anjanapura,950.0,2,40.0,2,4210.526315789473
anjanapura,1280.0,2,45.0,3,3515.625
anjanapura,710.0,2,25.0,2,3521.1267605633802
anjanapura,950.0,2,32.0,2,3368.4210526315787
anjanapura,1800.0,4,55.0,4,3055.5555555555557
anjanapura,1843.0,3,87.54,3,4749.864351600651
anjanapura,1076.0,2,30.13,2,2800.185873605948
anjanapura,950.0,2,30.0,2,3157.8947368421054
ardendale,1750.0,3,100.0,3,5714.285714285715
ardendale,3198.0,4,200.0,4,6253.908692933083
ardendale,2422.0,4,160.0,4,6606.110652353427
ardendale,3200.0,4,205.0,4,6406.25
ardendale,1728.0,3,95.0,3,5497.685185185185
ardendale,2062.0,3,140.0,4,6789.524733268671
ardendale,1732.46,3,92.0,3,5310.367916142364
ardendale,2062.0,3,150.0,4,7274.4907856450045
ardendale,1224.0,2,70.0,2,5718.954248366013
ardendale,1777.26,3,105.0,3,5907.970696465346
ardendale,1650.0,3,82.0,3,4969.69696969697
ardendale,1224.0,2,67.0,2,5473.856209150327
ardendale,1723.0,3,95.0,3,5513.6390017411495
ardendale,1777.26,3,89.0,3,5007.7084950991975
ardendale,1777.26,3,92.0,3,5176.507657855351
arekere,1222.0,2,45.0,2,3682.4877250409168
arekere,2060.0,3,140.0,3,6796.116504854369
arekere,920.0,2,40.0,2,4347.826086956522
arekere,1740.0,2,95.0,3,5459.770114942528
arekere,1190.0,2,55.0,2,4621.848739495798
arekere,600.0,1,28.0,1,4666.666666666667
arekere,2072.0,3,108.0,3,5212.355212355213
arekere,1100.0,2,55.0,2,5000.0
arekere,900.0,2,50.0,2,5555.555555555556
arekere,1240.0,2,60.0,2,4838.709677419355
arekere,900.0,2,44.5,2,4944.444444444444
attibele,450.0,1,11.0,1,2444.4444444444443
attibele,1600.0,4,52.8,4,3300.0
attibele,656.0,2,25.0,2,3810.9756097560976
attibele,400.0,1,11.0,1,2750.0
attibele,400.0,1,12.0,1,3000.0
attibele,400.0,1,14.0,1,3500.0
attibele,500.0,1,17.0,1,3400.0
attibele,2168.0,4,95.0,4,4381.918819188192
attibele,395.0,1,10.25,1,2594.9367088607596
attibele,420.0,1,17.0,1,4047.6190476190477
attibele,418.0,1,12.0,1,2870.813397129187
attibele,1200.0,2,42.0,2,3500.0
attibele,400.0,1,10.0,1,2500.0
attibele,695.0,1,25.0,2,3597.122302158273
attibele,850.0,1,25.0,2,2941.176470588235
attibele,2400.0,3,120.0,3,5000.0
attibele,450.0,1,12.5,1,2777.777777777778
attibele,782.0,1,19.55,1,2500.0
attibele,400.0,1,11.5,1,2875.0
attibele,460.0,1,13.0,1,2826.086956521739
attibele,418.0,2,11.5,1,2751.196172248804
attibele,1000.0,2,42.0,2,4200.0
attibele,550.0,1,11.5,1,2090.909090909091
attibele,410.0,1,10.0,1,2439.0243902439024
attibele,1700.0,3,65.0,3,3823.529411764706
attibele,400.0,1,10.25,1,2562.5
attibele,1500.0,3,90.0,3,6000.0
attibele,520.0,1,15.0,1,2884.6153846153848
babusapalaya,1611.0,2,66.0,3,4096.83426443203
babusapalaya,1675.0,3,75.0,3,4477.611940298508
babusapalaya,1141.0,2,46.0,2,4031.5512708150745
babusapalaya,1500.0,2,57.0,2,3800.0
babusapalaya,1050.0,2,45.0,2,4285.714285714285
babusapalaya,1141.0,2,45.9,2,4022.787028921998
babusapalaya,1230.0,3,53.0,3,4308.943089430894
babusapalaya,1105.0,2,40.0,2,3619.9095022624433
babusapalaya,1410.0,2,65.0,3,4609.929078014185
babusapalaya,1450.0,2,55.99,2,3861.3793103448274
babusapalaya,1100.0,2,38.0,2,3454.5454545454545
babusapalaya,1061.0,2,33.84,2,3189.4439208294066
babusapalaya,1061.0,2,38.95,2,3671.065032987748
babusapalaya,1061.0,2,34.0,2,3204.5240339302545
babusapalaya,1245.0,2,58.0,2,4658.634538152611
balagere,1210.0,2,80.9,2,6685.950413223141
balagere,1210.0,2,72.0,2,5950.413223140496
balagere,1205.0,2,78.5,2,6514.522821576764
balagere,790.5,1,41.9,1,5300.44275774826
balagere,1020.07,2,68.38,2,6703.461527150097
balagere,1205.47,2,81.0,2,6719.370867794304
balagere,1007.0,2,65.0,2,6454.816285998014
balagere,1210.0,2,74.0,2,6115.702479338843
balagere,1210.0,2,83.0,2,6859.504132231405
balagere,675.0,1,45.0,1,6666.666666666667
balagere,656.0,1,43.0,1,6554.878048780488
balagere,1012.0,2,64.0,2,6324.110671936759
balagere,1007.0,2,62.0,2,6156.901688182721
balagere,1007.0,2,67.0,2,6653.4260178748755
balagere,1007.0,2,66.0,2,6554.121151936445
balagere,645.0,1,34.18,1,5299.224806201551
balagere,790.5,1,42.295,1,5350.411132194813
balagere,1012.0,2,65.0,2,6422.924901185771
balagere,656.0,1,38.77,1,5910.0609756097565
balagere,645.0,1,39.0,1,6046.511627906977
balagere,645.0,1,41.0,1,6356.589147286822
balagere,1210.0,2,82.0,2,6776.859504132231
balagere,656.0,1,34.77,1,5300.304878048782
balagere,1205.0,2,73.87,2,6130.290456431535
balagere,1012.0,2,70.0,2,6916.99604743083
balagere,1007.0,2,68.0,2,6752.730883813307
